ITEM	NUMBER	BINARY	HEXADECIMAL
1285	467	111010011	1D3
1286	305	100110001	131
1287	46	101110	2E
1288	10	1010	A
1289	387	110000011	183
1290	174	10101110	AE
1291	388	110000100	184
1292	137	10001001	89
1293	417	110100001	1A1
1294	319	100111111	13F
1295	6	110	6
1296	181	10110101	B5
1297	101	1100101	65
1298	203	11001011	CB
1299	178	10110010	B2
1300	81	1010001	51
1301	486	111100110	1E6
1302	144	10010000	90
1303	492	111101100	1EC
1304	355	101100011	163
1305	239	11101111	EF
1306	227	11100011	E3
1307	159	10011111	9F
1308	325	101000101	145
1309	460	111001100	1CC
1310	497	111110001	1F1
1311	36	100100	24
1312	264	100001000	108
1313	102	1100110	66
1314	292	100100100	124
1315	84	1010100	54
1316	255	11111111	FF
1317	472	111011000	1D8
1318	98	1100010	62
1319	371	101110011	173
1320	92	1011100	5C
1321	277	100010101	115
1322	38	100110	26
1323	436	110110100	1B4
1324	424	110101000	1A8
1325	71	1000111	47
1326	71	1000111	47
1327	297	100101001	129
1328	100	1100100	64
1329	224	11100000	E0
1330	491	111101011	1EB
1331	118	1110110	76
1332	76	1001100	4C
1333	187	10111011	BB
1334	263	100000111	107
1335	379	101111011	17B
1336	139	10001011	8B
1337	156	10011100	9C
1338	85	1010101	55
1339	203	11001011	CB
1340	344	101011000	158
1341	200	11001000	C8
1342	163	10100011	A3
1343	493	111101101	1ED
1344	360	101101000	168
1345	167	10100111	A7
1346	145	10010001	91
1347	455	111000111	1C7
1348	0	0	0
1349	369	101110001	171
1350	472	111011000	1D8
1351	371	101110011	173
1352	70	1000110	46
1353	477	111011101	1DD
1354	300	100101100	12C
1355	199	11000111	C7
1356	226	11100010	E2
1357	434	110110010	1B2
1358	214	11010110	D6
1359	369	101110001	171
1360	87	1010111	57
1361	341	101010101	155
1362	158	10011110	9E
1363	440	110111000	1B8
1364	30	11110	1E
1365	349	101011101	15D
1366	428	110101100	1AC
1367	187	10111011	BB
1368	49	110001	31
1369	371	101110011	173
1370	476	111011100	1DC
1371	107	1101011	6B
1372	230	11100110	E6
1373	458	111001010	1CA
1374	143	10001111	8F
1375	498	111110010	1F2
1376	169	10101001	A9
1377	345	101011001	159
1378	423	110100111	1A7
1379	351	101011111	15F
1380	172	10101100	AC
1381	458	111001010	1CA
1382	28	11100	1C
1383	174	10101110	AE
1384	161	10100001	A1
1385	429	110101101	1AD
1386	70	1000110	46
1387	175	10101111	AF
1388	215	11010111	D7
1389	411	110011011	19B
1390	210	11010010	D2
1391	123	1111011	7B
1392	3	11	3
1393	101	1100101	65
1394	285	100011101	11D
1395	201	11001001	C9
1396	418	110100010	1A2
1397	340	101010100	154
1398	272	100010000	110
1399	271	100001111	10F
1400	286	100011110	11E
1401	133	10000101	85
1402	150	10010110	96
1403	24	11000	18
1404	181	10110101	B5
1405	225	11100001	E1
1406	339	101010011	153
1407	35	100011	23
1408	3	11	3
1409	435	110110011	1B3
1410	179	10110011	B3
1411	36	100100	24
1412	477	111011101	1DD
1413	123	1111011	7B
1414	42	101010	2A
1415	151	10010111	97
1416	274	100010010	112
1417	293	100100101	125
1418	217	11011001	D9
1419	14	1110	E
1420	400	110010000	190
1421	280	100011000	118
1422	155	10011011	9B
1423	366	101101110	16E
1424	432	110110000	1B0
1425	371	101110011	173
1426	254	11111110	FE
1427	27	11011	1B
1428	258	100000010	102
1429	34	100010	22
1430	248	11111000	F8
1431	429	110101101	1AD
1432	263	100000111	107
1433	283	100011011	11B
1434	99	1100011	63
1435	74	1001010	4A
1436	13	1101	D
1437	222	11011110	DE
1438	224	11100000	E0
1439	185	10111001	B9
1440	382	101111110	17E
1441	173	10101101	AD
1442	136	10001000	88
1443	35	100011	23
1444	243	11110011	F3
1445	487	111100111	1E7
1446	280	100011000	118
1447	265	100001001	109
1448	187	10111011	BB
1449	292	100100100	124
1450	7	111	7
1451	250	11111010	FA
1452	275	100010011	113
1453	195	11000011	C3
1454	460	111001100	1CC
1455	421	110100101	1A5
1456	19	10011	13
1457	140	10001100	8C
1458	209	11010001	D1
1459	304	100110000	130
1460	337	101010001	151
1461	257	100000001	101
1462	288	100100000	120
1463	198	11000110	C6
1464	363	101101011	16B
1465	376	101111000	178
1466	8	1000	8
1467	354	101100010	162
1468	419	110100011	1A3
1469	173	10101101	AD
1470	134	10000110	86
1471	105	1101001	69
1472	220	11011100	DC
1473	460	111001100	1CC
1474	214	11010110	D6
1475	312	100111000	138
1476	390	110000110	186
1477	47	101111	2F
1478	324	101000100	144
1479	321	101000001	141
1480	51	110011	33
1481	421	110100101	1A5
1482	388	110000100	184
1483	372	101110100	174
1484	152	10011000	98
1485	344	101011000	158
1486	116	1110100	74
1487	440	110111000	1B8
1488	336	101010000	150
1489	313	100111001	139
1490	96	1100000	60
1491	177	10110001	B1
1492	39	100111	27
1493	6	110	6
1494	384	110000000	180
1495	407	110010111	197
1496	94	1011110	5E
1497	450	111000010	1C2
1498	370	101110010	172
1499	357	101100101	165
1500	405	110010101	195
1501	232	11101000	E8
1502	328	101001000	148
1503	350	101011110	15E
1504	325	101000101	145
1505	180	10110100	B4
1506	437	110110101	1B5
1507	231	11100111	E7
1508	350	101011110	15E
1509	64	1000000	40
1510	244	11110100	F4
1511	163	10100011	A3
1512	197	11000101	C5
1513	389	110000101	185
1514	81	1010001	51
1515	94	1011110	5E
1516	473	111011001	1D9
1517	496	111110000	1F0
1518	125	1111101	7D
1519	169	10101001	A9
1520	255	11111111	FF
1521	388	110000100	184
1522	19	10011	13
1523	303	100101111	12F
1524	238	11101110	EE
1525	241	11110001	F1
1526	205	11001101	CD
1527	145	10010001	91
1528	268	100001100	10C
1529	490	111101010	1EA
1530	439	110110111	1B7
1531	463	111001111	1CF
1532	150	10010110	96
1533	432	110110000	1B0
1534	281	100011001	119
1535	121	1111001	79
1536	92	1011100	5C
1537	370	101110010	172
1538	317	100111101	13D
1539	218	11011010	DA
1540	163	10100011	A3
1541	105	1101001	69
1542	169	10101001	A9
1543	65	1000001	41
1544	356	101100100	164
1545	153	10011001	99
1546	52	110100	34
1547	95	1011111	5F
1548	193	11000001	C1
1549	462	111001110	1CE
1550	390	110000110	186
1551	331	101001011	14B
1552	150	10010110	96
1553	266	100001010	10A
1554	225	11100001	E1
1555	398	110001110	18E
1556	327	101000111	147
1557	82	1010010	52
1558	290	100100010	122
1559	314	100111010	13A
1560	437	110110101	1B5
1561	477	111011101	1DD
1562	67	1000011	43
1563	171	10101011	AB
1564	124	1111100	7C
1565	354	101100010	162
1566	491	111101011	1EB
1567	12	1100	C
1568	426	110101010	1AA
1569	474	111011010	1DA
1570	369	101110001	171
1571	105	1101001	69
1572	396	110001100	18C
1573	66	1000010	42
1574	262	100000110	106
1575	19	10011	13
1576	190	10111110	BE
1577	253	11111101	FD
1578	329	101001001	149
1579	218	11011010	DA
1580	23	10111	17
1581	81	1010001	51
1582	124	1111100	7C
1583	110	1101110	6E
1584	315	100111011	13B
1585	206	11001110	CE
1586	446	110111110	1BE
1587	186	10111010	BA
1588	438	110110110	1B6
1589	298	100101010	12A
1590	453	111000101	1C5
1591	149	10010101	95
1592	338	101010010	152
1593	112	1110000	70
1594	335	101001111	14F
1595	458	111001010	1CA
1596	388	110000100	184
1597	39	100111	27
1598	284	100011100	11C
1599	394	110001010	18A
1600	120	1111000	78
1601	492	111101100	1EC
1602	249	11111001	F9
1603	207	11001111	CF
1604	475	111011011	1DB
1605	425	110101001	1A9
1606	236	11101100	EC
1607	216	11011000	D8
1608	113	1110001	71
1609	313	100111001	139
1610	282	100011010	11A
1611	293	100100101	125
1612	407	110010111	197
1613	203	11001011	CB
1614	192	11000000	C0
1615	307	100110011	133
1616	288	100100000	120
1617	295	100100111	127
1618	311	100110111	137
1619	64	1000000	40
1620	205	11001101	CD
1621	153	10011001	99
1622	272	100010000	110
1623	197	11000101	C5
1624	176	10110000	B0
1625	469	111010101	1D5
1626	35	100011	23
1627	332	101001100	14C
1628	487	111100111	1E7
1629	287	100011111	11F
1630	129	10000001	81
1631	373	101110101	175
1632	214	11010110	D6
1633	283	100011011	11B
1634	144	10010000	90
1635	38	100110	26
1636	350	101011110	15E
1637	482	111100010	1E2
1638	160	10100000	A0
1639	418	110100010	1A2
1640	372	101110100	174
1641	37	100101	25
1642	267	100001011	10B
1643	108	1101100	6C
1644	62	111110	3E
1645	369	101110001	171
1646	140	10001100	8C
1647	31	11111	1F
1648	22	10110	16
1649	390	110000110	186
1650	437	110110101	1B5
1651	343	101010111	157
1652	180	10110100	B4
1653	182	10110110	B6
1654	484	111100100	1E4
1655	350	101011110	15E
1656	181	10110101	B5
1657	50	110010	32
1658	480	111100000	1E0
1659	156	10011100	9C
1660	4	100	4
1661	201	11001001	C9
1662	354	101100010	162
1663	136	10001000	88
1664	101	1100101	65
1665	58	111010	3A
1666	234	11101010	EA
1667	68	1000100	44
1668	250	11111010	FA
1669	290	100100010	122
1670	328	101001000	148
1671	233	11101001	E9
1672	327	101000111	147
1673	36	100100	24
1674	300	100101100	12C
1675	314	100111010	13A
1676	319	100111111	13F
1677	141	10001101	8D
1678	377	101111001	179
1679	106	1101010	6A
1680	102	1100110	66
1681	23	10111	17
1682	391	110000111	187
1683	421	110100101	1A5
1684	296	100101000	128
1685	193	11000001	C1
1686	419	110100011	1A3
1687	45	101101	2D
1688	191	10111111	BF
1689	4	100	4
1690	354	101100010	162
1691	37	100101	25
1692	58	111010	3A
1693	48	110000	30
1694	37	100101	25
1695	383	101111111	17F
1696	486	111100110	1E6
1697	119	1110111	77
1698	258	100000010	102
1699	359	101100111	167
1700	347	101011011	15B
1701	112	1110000	70
1702	64	1000000	40
1703	366	101101110	16E
1704	207	11001111	CF
1705	377	101111001	179
1706	130	10000010	82
1707	12	1100	C
1708	160	10100000	A0
1709	156	10011100	9C
1710	438	110110110	1B6
1711	254	11111110	FE
1712	421	110100101	1A5
1713	368	101110000	170
1714	210	11010010	D2
1715	103	1100111	67
1716	460	111001100	1CC
1717	232	11101000	E8
1718	108	1101100	6C
1719	471	111010111	1D7
1720	177	10110001	B1
1721	312	100111000	138
1722	403	110010011	193
1723	227	11100011	E3
1724	157	10011101	9D
1725	211	11010011	D3
1726	267	100001011	10B
1727	314	100111010	13A
1728	312	100111000	138
1729	48	110000	30
1730	492	111101100	1EC
1731	434	110110010	1B2
1732	441	110111001	1B9
1733	363	101101011	16B
1734	33	100001	21
1735	47	101111	2F
1736	11	1011	B
1737	481	111100001	1E1
1738	103	1100111	67
1739	106	1101010	6A
1740	242	11110010	F2
1741	223	11011111	DF
1742	6	110	6
1743	379	101111011	17B
1744	205	11001101	CD
1745	315	100111011	13B
1746	35	100011	23
1747	6	110	6
1748	396	110001100	18C
1749	348	101011100	15C
1750	192	11000000	C0
1751	304	100110000	130
1752	344	101011000	158
1753	52	110100	34
1754	438	110110110	1B6
1755	10	1010	A
1756	0	0	0
1757	472	111011000	1D8
1758	302	100101110	12E
1759	109	1101101	6D
1760	238	11101110	EE
1761	477	111011101	1DD
1762	445	110111101	1BD
1763	371	101110011	173
1764	462	111001110	1CE
1765	499	111110011	1F3
1766	81	1010001	51
1767	322	101000010	142
1768	340	101010100	154
1769	385	110000001	181
1770	376	101111000	178
1771	18	10010	12
1772	135	10000111	87
1773	359	101100111	167
1774	122	1111010	7A
1775	422	110100110	1A6
1776	433	110110001	1B1
1777	474	111011010	1DA
1778	336	101010000	150
1779	39	100111	27
1780	76	1001100	4C
1781	479	111011111	1DF
1782	491	111101011	1EB
1783	90	1011010	5A
1784	424	110101000	1A8
1785	235	11101011	EB
1786	72	1001000	48
1787	229	11100101	E5
1788	41	101001	29
1789	14	1110	E
1790	451	111000011	1C3
1791	315	100111011	13B
1792	346	101011010	15A
1793	385	110000001	181
1794	30	11110	1E
1795	176	10110000	B0
1796	150	10010110	96
1797	54	110110	36
1798	90	1011010	5A
1799	458	111001010	1CA
1800	343	101010111	157
1801	194	11000010	C2
1802	325	101000101	145
1803	3	11	3
1804	144	10010000	90
1805	177	10110001	B1
1806	274	100010010	112
1807	72	1001000	48
1808	452	111000100	1C4
1809	373	101110101	175
1810	462	111001110	1CE
1811	359	101100111	167
1812	206	11001110	CE
1813	357	101100101	165
1814	149	10010101	95
1815	180	10110100	B4
1816	455	111000111	1C7
1817	448	111000000	1C0
1818	106	1101010	6A
1819	354	101100010	162
1820	41	101001	29
1821	32	100000	20
1822	469	111010101	1D5
1823	149	10010101	95
1824	410	110011010	19A
1825	386	110000010	182
1826	175	10101111	AF
1827	294	100100110	126
1828	197	11000101	C5
1829	192	11000000	C0
1830	433	110110001	1B1
1831	110	1101110	6E
1832	466	111010010	1D2
1833	470	111010110	1D6
1834	48	110000	30
1835	500	111110100	1F4
1836	397	110001101	18D
1837	319	100111111	13F
1838	22	10110	16
1839	400	110010000	190
1840	405	110010101	195
1841	163	10100011	A3
1842	27	11011	1B
1843	211	11010011	D3
1844	385	110000001	181
1845	359	101100111	167
1846	250	11111010	FA
1847	386	110000010	182
1848	473	111011001	1D9
1849	331	101001011	14B
1850	148	10010100	94
1851	472	111011000	1D8
1852	431	110101111	1AF
1853	489	111101001	1E9
1854	21	10101	15
1855	32	100000	20
1856	80	1010000	50
1857	154	10011010	9A
1858	355	101100011	163
1859	134	10000110	86
1860	83	1010011	53
1861	345	101011001	159
1862	100	1100100	64
1863	479	111011111	1DF
1864	250	11111010	FA
1865	415	110011111	19F
1866	168	10101000	A8
1867	171	10101011	AB
1868	360	101101000	168
1869	163	10100011	A3
1870	35	100011	23
1871	202	11001010	CA
1872	443	110111011	1BB
1873	91	1011011	5B
1874	6	110	6
1875	404	110010100	194
1876	415	110011111	19F
1877	430	110101110	1AE
1878	439	110110111	1B7
1879	425	110101001	1A9
1880	407	110010111	197
1881	34	100010	22
1882	471	111010111	1D7
1883	466	111010010	1D2
1884	24	11000	18
1885	156	10011100	9C
1886	107	1101011	6B
1887	296	100101000	128
1888	228	11100100	E4
1889	230	11100110	E6
1890	476	111011100	1DC
1891	282	100011010	11A
1892	198	11000110	C6
1893	211	11010011	D3
1894	467	111010011	1D3
1895	58	111010	3A
1896	192	11000000	C0
1897	416	110100000	1A0
1898	265	100001001	109
1899	356	101100100	164
1900	403	110010011	193
1901	204	11001100	CC
1902	276	100010100	114
1903	267	100001011	10B
1904	278	100010110	116
1905	496	111110000	1F0
1906	227	11100011	E3
1907	235	11101011	EB
1908	189	10111101	BD
1909	176	10110000	B0
1910	179	10110011	B3
1911	388	110000100	184
1912	38	100110	26
1913	246	11110110	F6
1914	451	111000011	1C3
1915	315	100111011	13B
1916	346	101011010	15A
1917	147	10010011	93
1918	456	111001000	1C8
1919	10	1010	A
1920	413	110011101	19D
1921	189	10111101	BD
1922	39	100111	27
1923	488	111101000	1E8
1924	436	110110100	1B4
1925	106	1101010	6A
1926	79	1001111	4F
1927	369	101110001	171
1928	405	110010101	195
1929	351	101011111	15F
1930	40	101000	28
1931	346	101011010	15A
1932	386	110000010	182
1933	371	101110011	173
1934	480	111100000	1E0
1935	184	10111000	B8
1936	417	110100001	1A1
1937	175	10101111	AF
1938	263	100000111	107
1939	127	1111111	7F
1940	42	101010	2A
1941	247	11110111	F7
1942	228	11100100	E4
1943	237	11101101	ED
1944	10	1010	A
1945	61	111101	3D
1946	106	1101010	6A
1947	126	1111110	7E
1948	500	111110100	1F4
1949	164	10100100	A4
1950	437	110110101	1B5
1951	487	111100111	1E7
1952	480	111100000	1E0
1953	230	11100110	E6
1954	164	10100100	A4
1955	403	110010011	193
1956	219	11011011	DB
1957	148	10010100	94
1958	451	111000011	1C3
1959	474	111011010	1DA
1960	137	10001001	89
1961	274	100010010	112
1962	174	10101110	AE
1963	453	111000101	1C5
1964	362	101101010	16A
1965	249	11111001	F9
1966	380	101111100	17C
1967	392	110001000	188
1968	208	11010000	D0
1969	305	100110001	131
1970	330	101001010	14A
1971	201	11001001	C9
1972	101	1100101	65
1973	248	11111000	F8
1974	498	111110010	1F2
1975	211	11010011	D3
1976	132	10000100	84
1977	127	1111111	7F

Execution Time: 0.0854 seconds
